app_name,app_package,app_categoryId,reviewId,review,reply,userName,score,at
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,e37744a1-5499-487f-93a9-9d6fdbc11f97,Best llm yet,,Soumyajit Das (Extra work),5.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,024cac1d-5579-4deb-9360-8573a7041056,broken more and more every day =�,,Patrick McGough,1.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,cc88cdaa-ffbc-422d-bbb4-2f041134f50a,"pathetic bot, wastes my time.",,ASISH PAL,1.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,4c3cfe50-bc4c-4026-91f4-4b963239fff7,,,kempegouda patil,5.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,e826dee0-6694-4607-9a5f-7522c4df774b,"The conversation limits are incredibly short, with zero way to even carry them over to another chat and no memory of it even happening. I even bought Claude Pro, and literally nothing changed. It was super helpful, but that limits need to change, and if we have to have a new chat, I need it to remember the previous ones",,Broken Owl,2.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,6e51374d-52c9-4b6e-9472-e2137a922d1b,Absolutely fantastic...,,Baiju Parthan,5.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,bf917f3e-5961-4ff6-b0cb-1787cfe0b172,the app is simple and functional,,AbDo MahMoud,5.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,7b3e1fa7-23ca-46ff-ba26-2b9a8679fdd0,Claude is one of the best Ai I have ever gone through,,Rifor Precious,5.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,6b272ed0-eb47-4895-a4de-1fd675f4bcfa,love it,,Hikmat Bangash,5.0,"Jul 17, 2025"
Claude by Anthropic,com.anthropic.claude,PRODUCTIVITY,14aa84c8-6609-494c-934c-edaef57ba7f3,Mandatory phone verification? Nice.,,Max Payne,1.0,"Jul 17, 2025"
