parent_feature,child_feature,sibling_features,example_reviews,app_name,n_siblings,cluster_size,child_depth,tree_id,model_type,embedding_type,strategy,sample_size
parents,children,"[""parents"", ""kids""]","[""Love this app because it has helped me to watch my children, thank you!"", ""The app worked at first but lately it hasn't been working. I can see my husband's location but not my children which is the main reason I got the app. All settings and location sharing is on. My husband and I have android phones but my children have apple. We tried uninstalling and reinstalling, checked all the settings to make sure it was set up correctly and still nothing. At this point we don't know what else to do."", ""Bit hit and miss. Its not always working but does 90% of the time. I use to track my children going to and from school.""]",Life360: Find Family & Friends,2,3,2,Life360: Find Family & Friends__cluster_90,t-frex,allmini,balanced,0
deals,purchasing,"[""deals"", ""sale"", ""buying""]","[""Ive been purchasing clothes and some jewlery for a few years now and i absolutely love everything..the clothes are really nice and fit perfect they don't fall apart..the prices are cheap and affordable compared to other companies that sell the same thing..my delivery takes between 1-2 weeks i never had a problem..i will be buying all my clothes on here from now on..Thank You Shein!!"", ""Ease of app, purchasing and returns are great. But I dislike the review system and the fact that people leave fake reviews for points. A good 1/3 of items are just junk with good reviews they left JUST FOR POINTS. You also have to leave reviews for your ENTIRE order all at once. You can't do each item at a time."", ""This app has amazing clothes, Accessories, dog toys, shoes,house decor, necklaces/rings etc I would highly recommend getting this app and purchasing their products although you have to order a few times to get the hang of what size you need I have ordered from there and got something to small and then to big but now I know exactly what size I need and I was still able to wear my last order even though it was to big so again I highly recommend!!!!!!!!!!!!!""]",SHEIN-Fashion Shopping Online,3,4,3,SHEIN-Fashion Shopping Online__cluster_36,t-frex,allmini,balanced,0
split screen,cutting,"[""split"", ""chop"", ""cut""]","[""Bad experience. Always interrupted by cutting off signals. Always experienced disconnection."", ""Cutting someone off during meeting isn't cool...just cancel the free version and let's know zoom is now a paid app"", ""VIDEO KEPT CUTTING OFF; GOING BACK 2 INFO PAGE!""]",ZOOM Cloud Meetings,3,4,3,ZOOM Cloud Meetings__cluster_0,t-frex,allmini,balanced,0
user matching,girls,"[""women"", ""men"", ""guys""]","[""So far talked to a couple of girls that seem real but others want to text your personal number and then ask for money. Wish there was a way to weed these out before they show up on your match list."", ""Usefull but many of them are using missuse i hope you understand how they are using most of them i feel girls are using like business proposal ..."", ""Don't bother instaling, I've been searching for JUST GIRLS and every now and then some guy shows up on my search, starting to think it's better to just uninstal, because at this point it's like they don't even care, I even do report, but a few weeks or months later there they are again, I've lost count of how many reports I've done... Also I've put to search for girls just in my area but it keeps showing girls from all over the world...""]",Tinder - Dating & Make Friends,3,4,2,Tinder - Dating & Make Friends__cluster_57,t-frex,allmini,balanced,0
device sharing,tablet,"[""laptop"", ""device"", ""phone""]","[""Lately almost all the videos I transferred to my tablet aren't playing (Samsung Galaxy Tab A) Can't even open a file. Even though I updated to the newest version."", ""Easy to use. User friendly and pleasant interface. And on top of that the best part is if you lose your cable or are offline you can still transfer files at high speed between your devices eg. Phone to laptop to tablet. Excellent innovation."", ""This app is so amazing, I use it for all my devices (tablet, smart phone, and PC""]",SHAREit: Share & File Manager,3,4,3,SHAREit: Share & File Manager__cluster_42,t-frex,allmini,balanced,0
messaging,phone messages,"[""chat"", ""messaging"", ""personal chat""]","[""I absolutely love this app because It is user friendly. I have access to my FICO credit score and with a press of a button, this stops my card from being fraudulently used if it is lost or stolen. Also, there are alerts informing me through the Discover Card app if my personal information is on the black market web and if there are money transactions I am alerted through phone messages too.""]",Discover Mobile,3,4,2,Discover Mobile__cluster_37,t-frex,allmini,balanced,0
account setup,google account,"[""setup account"", ""account""]","[""I still have to check both accounts separately :( Want a shared list option! No, collaboration isn't possible. Can't even share tasks between MY 2 Google accounts (both linked on my phone). If I get an email from act B, I can quickly make a task for it (yay!), but I can't * share with * copy/cut to act A. The \""New Task\"" is only for act A (why not configurable?); my main inbox is act B. The good: * simple design * subtasks * reminder import * recurrence * completed tasks easy to see/uncheck"", ""I try to use technology to help me in my everyday work/homelife and Google Tasks could well be helpful. That being said I struggle to understand how a Google Account really works. With that in mind three times I wrote in a task and three times it disappeared and did not sync to other devices. Was this something I was doing wrong (don't think so in this circumstance) or Google tasks? This leaves me a bit hesitant to use it as I could input tasks only for them to be deleted. I will persevere."", ""Wish other google accounts could send me tasks lists""]",Google Tasks,2,3,2,Google Tasks__cluster_68,t-frex,allmini,balanced,0
group interaction,participation,"[""people"", ""group"", ""meet"", ""gathering""]","[""So sad my country does not support the participation of the activity because you have a money collector now. I thought I could use it. But, above all, this app helps me to transfer files to files easily and managed to clean my phone storage. I tried to clean the 27.9 on my phone storage before but when I cleaned it using this app it went 24.6 now. Thank You!"", ""Why does in new update? Say's your country does not t support participation in the activity?"", ""Why it says \""your country is does not support participation\"" why?""]",SHAREit: Share & File Manager,4,5,3,SHAREit: Share & File Manager__cluster_2,t-frex,allmini,balanced,0
sync across devices,sync across multiple devices,"[""sync to"", ""synchronize"", ""pc sync"", ""syncup""]","[""I like the ability to sync across multiple devices, and different platforms such as Teamsnap and SignUpGenius. Doesn't play well with iPhone, as to be expected.""]",Google Calendar,4,5,1,Google Calendar__cluster_20,t-frex,allmini,balanced,0
cross platform,multi platform,"[""platform"", ""cross platform""]","[""no longer usable on multi platform, thanks greedy corp""]",LastPass Password Manager,2,3,2,LastPass Password Manager__cluster_55,t-frex,allmini,balanced,0
